id,date,source,score,label
109,2026-06-13,Лента.ру,0.0,нейтрал
110,2026-06-13,Лента.ру,0.0,нейтрал
111,2026-06-13,Лента.ру,0.0,нейтрал
112,2026-06-13,Лента.ру,0.0,нейтрал
113,2026-06-13,Лента.ру,-0.5,негатив
114,2026-06-13,Лента.ру,-0.5,негатив
115,2026-06-13,Лента.ру,0.0,нейтрал
116,2026-06-13,Лента.ру,0.0,нейтрал
117,2026-06-13,Лента.ру,0.0,нейтрал
118,2026-06-13,Лента.ру,0.0,нейтрал
119,2026-06-13,Лента.ру,-0.5,негатив
120,2026-06-13,Лента.ру,0.0,нейтрал
121,2026-06-13,Лента.ру,-0.6667,негатив
122,2026-06-13,Лента.ру,-0.5,негатив
123,2026-06-13,Лента.ру,-0.5,негатив
124,2026-06-13,Лента.ру,0.0,нейтрал
125,2026-06-13,Лента.ру,-0.5,негатив
126,2026-06-13,Лента.ру,0.0,нейтрал
127,2026-06-13,Лента.ру,0.0,нейтрал
128,2026-06-13,Лента.ру,0.0,нейтрал
129,2026-06-13,Лента.ру,-0.5,негатив
130,2026-06-13,Лента.ру,0.0,нейтрал
131,2026-06-13,Лента.ру,0.0,нейтрал
132,2026-06-13,Лента.ру,-0.6667,негатив
133,2026-06-13,Лента.ру,-0.5,негатив
134,2026-06-13,Лента.ру,0.0,нейтрал
135,2026-06-13,Лента.ру,0.0,нейтрал
136,2026-06-13,Лента.ру,0.0,нейтрал
137,2026-06-13,Лента.ру,0.5,позитив
138,2026-06-13,Лента.ру,0.0,нейтрал
139,2026-06-13,Лента.ру,0.5,позитив
140,2026-06-13,Лента.ру,0.0,нейтрал
141,2026-06-13,Лента.ру,0.0,нейтрал
142,2026-06-13,Лента.ру,0.0,нейтрал
143,2026-06-13,Лента.ру,0.0,нейтрал
144,2026-06-13,Лента.ру,0.5,позитив
145,2026-06-13,Лента.ру,0.5,позитив
146,2026-06-13,Лента.ру,0.0,нейтрал
147,2026-06-13,Лента.ру,0.0,нейтрал
148,2026-06-13,Лента.ру,0.0,нейтрал
149,2026-06-13,Лента.ру,0.0,нейтрал
150,2026-06-13,Лента.ру,0.0,нейтрал
151,2026-06-13,Лента.ру,0.0,нейтрал
152,2026-06-13,Лента.ру,0.0,нейтрал
153,2026-06-13,Лента.ру,0.0,нейтрал
154,2026-06-13,Лента.ру,0.0,нейтрал
155,2026-06-13,Лента.ру,0.0,нейтрал
156,2026-06-13,Лента.ру,-0.5,негатив
157,2026-06-13,Лента.ру,0.0,нейтрал
158,2026-06-13,Лента.ру,-0.6667,негатив
159,2026-06-13,Лента.ру,-0.5,негатив
160,2026-06-13,Лента.ру,0.0,нейтрал
161,2026-06-13,Лента.ру,0.5,позитив
162,2026-06-13,Лента.ру,0.0,нейтрал
163,2026-06-13,Лента.ру,0.0,нейтрал
164,2026-06-13,Лента.ру,-0.5,негатив
165,2026-06-13,Лента.ру,0.0,нейтрал
166,2026-06-13,Лента.ру,0.0,нейтрал
167,2026-06-13,Лента.ру,0.0,нейтрал
168,2026-06-13,Лента.ру,0.0,нейтрал
169,2026-06-13,Лента.ру,0.0,нейтрал
170,2026-06-13,Лента.ру,0.0,нейтрал
171,2026-06-13,Лента.ру,0.0,нейтрал
172,2026-06-13,Лента.ру,0.0,нейтрал
173,2026-06-13,Лента.ру,0.0,нейтрал
174,2026-06-13,Лента.ру,0.0,нейтрал
175,2026-06-13,Лента.ру,-0.5,негатив
176,2026-06-13,Лента.ру,0.0,нейтрал
177,2026-06-13,Лента.ру,-0.5,негатив
178,2026-06-13,Лента.ру,0.0,нейтрал
179,2026-06-13,Лента.ру,0.0,нейтрал
180,2026-06-13,Лента.ру,0.0,нейтрал
181,2026-06-13,Лента.ру,0.0,нейтрал
182,2026-06-13,Лента.ру,0.0,нейтрал
183,2026-06-13,Лента.ру,0.0,нейтрал
184,2026-06-13,Лента.ру,0.5,позитив
185,2026-06-13,Лента.ру,0.5,позитив
186,2026-06-13,Лента.ру,0.0,нейтрал
187,2026-06-13,Лента.ру,0.0,нейтрал
188,2026-06-13,Лента.ру,0.0,нейтрал
189,2026-06-13,Лента.ру,-0.5,негатив
190,2026-06-13,Лента.ру,0.0,нейтрал
191,2026-06-13,Лента.ру,0.0,нейтрал
192,2026-06-13,Лента.ру,0.0,нейтрал
193,2026-06-13,Лента.ру,0.0,нейтрал
194,2026-06-13,Лента.ру,0.0,нейтрал
195,2026-06-13,Лента.ру,0.0,нейтрал
196,2026-06-13,Лента.ру,0.0,нейтрал
197,2026-06-13,Лента.ру,0.0,нейтрал
198,2026-06-13,Лента.ру,0.0,нейтрал
199,2026-06-13,Лента.ру,0.0,нейтрал
200,2026-06-13,Лента.ру,-0.5,негатив
201,2026-06-14,РИА Новости,-0.5,негатив
202,2026-06-14,РИА Новости,0.0,нейтрал
203,2026-06-14,РИА Новости,-0.5,негатив
204,2026-06-14,РИА Новости,0.0,нейтрал
205,2026-06-14,РИА Новости,0.5,позитив
206,2026-06-14,РИА Новости,0.5,позитив
207,2026-06-14,РИА Новости,0.0,нейтрал
208,2026-06-14,РИА Новости,0.0,нейтрал
209,2026-06-14,РИА Новости,0.0,нейтрал
210,2026-06-14,РИА Новости,-0.5,негатив
211,2026-06-14,РИА Новости,0.0,нейтрал
212,2026-06-14,РИА Новости,0.0,нейтрал
213,2026-06-14,РИА Новости,0.0,нейтрал
214,2026-06-14,РИА Новости,-0.5,негатив
215,2026-06-14,РИА Новости,0.0,нейтрал
216,2026-06-14,РИА Новости,0.0,нейтрал
217,2026-06-14,РИА Новости,0.0,нейтрал
218,2026-06-14,РИА Новости,0.0,нейтрал
219,2026-06-14,РИА Новости,0.0,нейтрал
220,2026-06-14,РИА Новости,0.0,нейтрал
221,2026-06-14,РИА Новости,-0.6667,негатив
222,2026-06-14,РИА Новости,0.0,нейтрал
223,2026-06-14,РИА Новости,0.0,нейтрал
224,2026-06-14,РИА Новости,0.5,позитив
225,2026-06-14,РИА Новости,0.0,нейтрал
226,2026-06-14,РИА Новости,0.0,нейтрал
227,2026-06-14,РИА Новости,0.5,позитив
228,2026-06-14,РИА Новости,0.0,нейтрал
229,2026-06-14,РИА Новости,0.0,нейтрал
230,2026-06-14,РИА Новости,0.0,нейтрал
231,2026-06-14,РИА Новости,0.0,нейтрал
232,2026-06-14,РИА Новости,0.5,позитив
233,2026-06-14,РИА Новости,0.0,нейтрал
234,2026-06-14,РИА Новости,0.0,нейтрал
235,2026-06-14,РИА Новости,0.0,нейтрал
236,2026-06-14,РИА Новости,0.0,нейтрал
237,2026-06-14,РИА Новости,0.0,нейтрал
238,2026-06-14,РИА Новости,-0.6667,негатив
239,2026-06-14,РИА Новости,-0.5,негатив
240,2026-06-14,РИА Новости,-0.5,негатив
241,2026-06-14,РИА Новости,0.5,позитив
242,2026-06-14,РИА Новости,0.0,нейтрал
243,2026-06-14,РИА Новости,-0.6667,негатив
244,2026-06-14,РИА Новости,-0.5,негатив
245,2026-06-14,РИА Новости,0.0,нейтрал
246,2026-06-14,РИА Новости,0.0,нейтрал
247,2026-06-14,РИА Новости,0.5,позитив
248,2026-06-14,РИА Новости,0.0,нейтрал
249,2026-06-14,РИА Новости,0.5,позитив
250,2026-06-14,РИА Новости,0.5,позитив
251,2026-06-14,РИА Новости,0.5,позитив
252,2026-06-14,РИА Новости,-0.6667,негатив
253,2026-06-14,РИА Новости,0.0,нейтрал
254,2026-06-14,РИА Новости,-0.5,негатив
255,2026-06-14,РИА Новости,0.0,нейтрал
256,2026-06-14,РИА Новости,-0.5,негатив
257,2026-06-14,РИА Новости,0.0,нейтрал
258,2026-06-14,РИА Новости,-0.5,негатив
259,2026-06-14,РИА Новости,-0.5,негатив
260,2026-06-14,РИА Новости,0.0,нейтрал
261,2026-06-14,РИА Новости,-0.5,негатив
262,2026-06-14,РИА Новости,0.5,позитив
263,2026-06-14,РИА Новости,0.0,нейтрал
264,2026-06-14,РИА Новости,0.5,позитив
265,2026-06-14,РИА Новости,0.0,нейтрал
266,2026-06-14,РИА Новости,-0.75,негатив
267,2026-06-14,РИА Новости,0.0,нейтрал
268,2026-06-14,РИА Новости,0.0,нейтрал
269,2026-06-14,РИА Новости,0.0,нейтрал
270,2026-06-14,РИА Новости,0.0,нейтрал
271,2026-06-14,РИА Новости,0.0,нейтрал
272,2026-06-14,РИА Новости,0.0,нейтрал
273,2026-06-14,РИА Новости,0.0,нейтрал
274,2026-06-14,РИА Новости,-0.5,негатив
275,2026-06-14,РИА Новости,0.0,нейтрал
276,2026-06-14,РИА Новости,0.0,нейтрал
277,2026-06-14,РИА Новости,0.0,нейтрал
278,2026-06-14,РИА Новости,0.0,нейтрал
279,2026-06-14,РИА Новости,0.5,позитив
280,2026-06-14,РИА Новости,0.0,нейтрал
281,2026-06-14,РИА Новости,0.0,нейтрал
282,2026-06-14,РИА Новости,0.0,нейтрал
283,2026-06-14,РИА Новости,-0.5,негатив
284,2026-06-14,РИА Новости,0.0,нейтрал
285,2026-06-14,РИА Новости,0.0,нейтрал
286,2026-06-14,РИА Новости,0.0,нейтрал
287,2026-06-14,РИА Новости,0.0,нейтрал
288,2026-06-14,РИА Новости,0.0,нейтрал
289,2026-06-14,РИА Новости,0.0,нейтрал
290,2026-06-14,РИА Новости,-0.6667,негатив
291,2026-06-14,РИА Новости,-0.5,негатив
292,2026-06-14,РИА Новости,0.0,нейтрал
293,2026-06-14,РИА Новости,0.0,нейтрал
294,2026-06-14,РИА Новости,0.0,нейтрал
295,2026-06-14,РИА Новости,0.0,нейтрал
296,2026-06-14,РИА Новости,-0.5,негатив
297,2026-06-14,Ведомости,0.0,нейтрал
298,2026-06-14,Ведомости,0.0,нейтрал
299,2026-06-14,Ведомости,0.5,позитив
300,2026-06-14,Ведомости,0.0,нейтрал
301,2026-06-14,Ведомости,0.5,позитив
302,2026-06-14,Ведомости,0.0,нейтрал
303,2026-06-14,Ведомости,0.5,позитив
304,2026-06-14,Ведомости,0.0,нейтрал
305,2026-06-14,Ведомости,0.0,нейтрал
306,2026-06-14,Ведомости,-0.5,негатив
307,2026-06-14,Ведомости,-0.6667,негатив
308,2026-06-14,Ведомости,0.0,нейтрал
309,2026-06-14,Ведомости,-0.75,негатив
310,2026-06-14,Ведомости,-0.5,негатив
311,2026-06-14,Ведомости,0.0,нейтрал
312,2026-06-14,Ведомости,0.0,нейтрал
313,2026-06-14,Ведомости,0.0,нейтрал
314,2026-06-14,Ведомости,-0.5,негатив
315,2026-06-14,Ведомости,0.0,нейтрал
316,2026-06-14,Ведомости,0.0,нейтрал
317,2026-06-14,Ведомости,0.5,позитив
318,2026-06-14,Ведомости,0.0,нейтрал
319,2026-06-14,Ведомости,0.0,нейтрал
320,2026-06-14,Ведомости,0.0,нейтрал
321,2026-06-14,Ведомости,0.0,нейтрал
322,2026-06-14,Ведомости,0.0,нейтрал
323,2026-06-14,Ведомости,0.0,нейтрал
324,2026-06-14,Ведомости,0.0,нейтрал
325,2026-06-14,Ведомости,0.0,нейтрал
326,2026-06-13,Ведомости,-0.5,негатив
327,2026-06-13,Ведомости,0.0,нейтрал
328,2026-06-13,Ведомости,0.5,позитив
329,2026-06-13,Ведомости,-0.5,негатив
330,2026-06-13,Ведомости,-0.5,негатив
331,2026-06-13,Ведомости,0.0,нейтрал
332,2026-06-13,Ведомости,-0.5,негатив
333,2026-06-13,Ведомости,0.0,нейтрал
334,2026-06-13,Ведомости,0.0,нейтрал
335,2026-06-13,Ведомости,0.0,нейтрал
336,2026-06-13,Ведомости,0.5,позитив
337,2026-06-13,Ведомости,-0.5,негатив
338,2026-06-13,Ведомости,0.6667,позитив
339,2026-06-13,Ведомости,0.0,нейтрал
340,2026-06-13,Ведомости,-0.6667,негатив
341,2026-06-13,Ведомости,0.0,нейтрал
342,2026-06-13,Ведомости,-0.5,негатив
343,2026-06-13,Ведомости,0.0,нейтрал
344,2026-06-13,Ведомости,-0.5,негатив
345,2026-06-13,Ведомости,-0.5,негатив
346,2026-06-13,Ведомости,-0.6667,негатив
347,2026-06-13,Ведомости,0.0,нейтрал
348,2026-06-13,Ведомости,0.0,нейтрал
349,2026-06-13,Ведомости,0.0,нейтрал
350,2026-06-13,Ведомости,0.0,нейтрал
351,2026-06-13,Ведомости,-0.75,негатив
352,2026-06-13,Ведомости,0.0,нейтрал
353,2026-06-13,Ведомости,0.0,нейтрал
354,2026-06-13,Ведомости,0.5,позитив
355,2026-06-13,Ведомости,0.0,нейтрал
356,2026-06-13,Ведомости,0.5,позитив
357,2026-06-13,Ведомости,0.0,нейтрал
358,2026-06-13,Ведомости,0.0,нейтрал
359,2026-06-13,Ведомости,0.0,нейтрал
360,2026-06-13,Ведомости,0.5,позитив
361,2026-06-13,Ведомости,-0.5,негатив
362,2026-06-13,Ведомости,0.0,нейтрал
363,2026-06-13,Ведомости,0.5,позитив
364,2026-06-13,Ведомости,0.5,позитив
365,2026-06-13,Ведомости,-0.5,негатив
366,2026-06-13,Ведомости,0.0,нейтрал
367,2026-06-13,Ведомости,-0.5,негатив
368,2026-06-13,Ведомости,0.0,нейтрал
369,2026-06-13,Ведомости,-0.5,негатив
370,2026-06-13,Ведомости,-0.6667,негатив
371,2026-06-13,Ведомости,0.0,нейтрал
372,2026-06-13,Ведомости,0.0,нейтрал
373,2026-06-13,Ведомости,-0.5,негатив
374,2026-06-13,Ведомости,0.0,нейтрал
375,2026-06-13,Ведомости,0.0,нейтрал
376,2026-06-13,Ведомости,0.0,нейтрал
377,2026-06-13,Ведомости,0.0,нейтрал
378,2026-06-13,Ведомости,-0.5,негатив
379,2026-06-13,Ведомости,0.0,нейтрал
380,2026-06-13,Ведомости,0.0,нейтрал
381,2026-06-13,Ведомости,0.0,нейтрал
382,2026-06-13,Ведомости,0.0,нейтрал
383,2026-06-13,Ведомости,0.0,нейтрал
384,2026-06-13,Ведомости,0.0,нейтрал
385,2026-06-13,Ведомости,-0.5,негатив
386,2026-06-12,Ведомости,0.5,позитив
387,2026-06-12,Ведомости,0.0,нейтрал
388,2026-06-12,Ведомости,0.0,нейтрал
389,2026-06-12,Ведомости,0.0,нейтрал
390,2026-06-12,Ведомости,0.5,позитив
391,2026-06-12,Ведомости,0.0,нейтрал
392,2026-06-12,Ведомости,0.0,нейтрал
393,2026-06-12,Ведомости,0.0,нейтрал
394,2026-06-12,Ведомости,0.5,позитив
395,2026-06-12,Ведомости,-0.5,негатив
396,2026-06-12,Ведомости,-0.5,негатив
397,2026-06-12,Ведомости,0.0,нейтрал
398,2026-06-12,Ведомости,0.5,позитив
399,2026-06-12,Ведомости,0.0,нейтрал
400,2026-06-12,Ведомости,0.5,позитив
401,2026-06-12,Ведомости,0.0,нейтрал
402,2026-06-12,Ведомости,0.0,нейтрал
403,2026-06-12,Ведомости,0.0,нейтрал
404,2026-06-12,Ведомости,0.5,позитив
405,2026-06-12,Ведомости,0.0,нейтрал
406,2026-06-12,Ведомости,0.0,нейтрал
407,2026-06-12,Ведомости,0.0,нейтрал
408,2026-06-12,Ведомости,0.0,нейтрал
409,2026-06-12,Ведомости,-0.5,негатив
410,2026-06-12,Ведомости,-0.5,негатив
